file, mod_num
2016-01_Conservative.jsonl.xz, 0 
2016-01_KotakuInAction.jsonl.xz, 0 
2016-01_MensRights.jsonl.xz, 0 
2016-01_SandersForPresident.jsonl.xz, 17 
2016-01_The_Donald.jsonl.xz, 0 
2016-01_conspiracy.jsonl.xz, 2 
2016-01_democrats.jsonl.xz, 0 
2016-01_politics.jsonl.xz, 11 

2016-02_Conservative.jsonl, 0 
2016-02_KotakuInAction.jsonl, 0 
2016-02_MensRights.jsonl, 0 
2016-02_SandersForPresident.jsonl, 63 
2016-02_The_Donald.jsonl, 10 
2016-02_conspiracy.jsonl, 0 
2016-02_democrats.jsonl, 0 
2016-02_politics.jsonl, 23 

2016-03_Conservative.jsonl, 0 
2016-03_KotakuInAction.jsonl, 0 
2016-03_MensRights.jsonl, 0 
2016-03_SandersForPresident.jsonl, 115 
2016-03_The_Donald.jsonl, 47 
2016-03_conspiracy.jsonl, 0 
2016-03_democrats.jsonl, 0 
2016-03_politics.jsonl, 54 

2016-04_Conservative.jsonl, 0 
2016-04_KotakuInAction.jsonl, 0 
2016-04_MensRights.jsonl, 0 
2016-04_SandersForPresident.jsonl, 87 
2016-04_The_Donald.jsonl, 50 
2016-04_conspiracy.jsonl, 0 
2016-04_democrats.jsonl, 0 
2016-04_politics.jsonl, 53 

2016-05_Conservative.jsonl.xz, 0 
2016-05_KotakuInAction.jsonl.xz, 0 
2016-05_MensRights.jsonl.xz, 0 
2016-05_SandersForPresident.jsonl.xz, 35 
2016-05_The_Donald.jsonl.xz, 55 
2016-05_conspiracy.jsonl.xz, 0 
2016-05_democrats.jsonl.xz, 0 
2016-05_politics.jsonl.xz, 80 

2016-06_Conservative.jsonl.xz, 0 
2016-06_KotakuInAction.jsonl.xz, 0 
2016-06_MensRights.jsonl.xz, 0 
2016-06_SandersForPresident.jsonl.xz, 25 
2016-06_The_Donald.jsonl.xz, 26 
2016-06_conspiracy.jsonl.xz, 0 
2016-06_democrats.jsonl.xz, 0 
2016-06_politics.jsonl.xz, 58 

2016-07_ChapoTrapHouse.jsonl.xz, 0 
2016-07_Conservative.jsonl.xz, 0 
2016-07_KotakuInAction.jsonl.xz, 0 
2016-07_MensRights.jsonl.xz, 0 
2016-07_SandersForPresident.jsonl.xz, 34 
2016-07_The_Donald.jsonl.xz, 50 
2016-07_conspiracy.jsonl.xz, 0 
2016-07_democrats.jsonl.xz, 0 
2016-07_politics.jsonl.xz, 65 

2016-08_ChapoTrapHouse.jsonl, 0 
2016-08_Conservative.jsonl, 0 
2016-08_KotakuInAction.jsonl, 0 
2016-08_MensRights.jsonl, 0 
2016-08_SandersForPresident.jsonl, 0 
2016-08_The_Donald.jsonl, 30 
2016-08_conspiracy.jsonl, 1 
2016-08_democrats.jsonl, 0 
2016-08_politics.jsonl, 49 

2016-09_ChapoTrapHouse.jsonl, 0 
2016-09_Conservative.jsonl, 0 
2016-09_KotakuInAction.jsonl, 0 
2016-09_MensRights.jsonl, 0 
2016-09_SandersForPresident.jsonl, 0 
2016-09_The_Donald.jsonl, 50 
2016-09_conspiracy.jsonl, 1 
2016-09_democrats.jsonl, 0 
2016-09_politics.jsonl, 79 

2016-10_ChapoTrapHouse.jsonl, 0 
2016-10_Conservative.jsonl, 0 
2016-10_KotakuInAction.jsonl, 1 
2016-10_MensRights.jsonl, 1 
2016-10_SandersForPresident.jsonl, 0 
2016-10_The_Donald.jsonl, 81 
2016-10_conspiracy.jsonl, 1 
2016-10_democrats.jsonl, 0 
2016-10_politics.jsonl, 101 

2016-11_ChapoTrapHouse.jsonl, 0 
2016-11_Conservative.jsonl, 2 
2016-11_KotakuInAction.jsonl, 0 
2016-11_MensRights.jsonl, 0 
2016-11_SandersForPresident.jsonl, 1 
2016-11_The_Donald.jsonl, 222 
2016-11_conspiracy.jsonl, 5 
2016-11_democrats.jsonl, 0 
2016-11_politics.jsonl, 142 

2016-12_ChapoTrapHouse.jsonl.xz, 0 
2016-12_Conservative.jsonl, 2 
2016-12_KotakuInAction.jsonl, 0 
2016-12_MensRights.jsonl, 0 
2016-12_SandersForPresident.jsonl.xz, 0 
2016-12_The_Donald.jsonl, 147 
2016-12_conspiracy.jsonl.xz, 4 
2016-12_democrats.jsonl, 0 
2016-12_politics.jsonl, 117 

2017-01_ChapoTrapHouse.jsonl.xz, 0 
2017-01_Conservative.jsonl.xz, 12 
2017-01_KotakuInAction.jsonl.xz, 0 
2017-01_MensRights.jsonl.xz, 0 
2017-01_SandersForPresident.jsonl.xz, 1 
2017-01_The_Donald.jsonl.xz, 248 
2017-01_conspiracy.jsonl.xz, 18 
2017-01_democrats.jsonl.xz, 0 
2017-01_politics.jsonl.xz, 145 

2017-02_ChapoTrapHouse.jsonl.xz, 0 
2017-02_Conservative.jsonl.xz, 6 
2017-02_KotakuInAction.jsonl.xz, 1 
2017-02_MensRights.jsonl.xz, 1 
2017-02_SandersForPresident.jsonl.xz, 1 
2017-02_The_Donald.jsonl.xz, 271 
2017-02_conspiracy.jsonl.xz, 21 
2017-02_democrats.jsonl.xz, 0 
2017-02_politics.jsonl.xz, 90 

2017-03_ChapoTrapHouse.jsonl.xz, 0 
2017-03_Conservative.jsonl.xz, 3 
2017-03_KotakuInAction.jsonl.xz, 1 
2017-03_MensRights.jsonl.xz, 0 
2017-03_SandersForPresident.jsonl.xz, 0 
2017-03_The_Donald.jsonl.xz, 159 
2017-03_conspiracy.jsonl.xz, 16 
2017-03_democrats.jsonl.xz, 0 
2017-03_politics.jsonl.xz, 86 

2017-04_ChapoTrapHouse.jsonl, 0 
