file, mod_num
2016-01_Conservative.jsonl.xz, 0 
2016-01_KotakuInAction.jsonl.xz, 1 
2016-01_MensRights.jsonl.xz, 2 
2016-01_SandersForPresident.jsonl.xz, 13 
2016-01_The_Donald.jsonl.xz, 2 
2016-01_conspiracy.jsonl.xz, 0 
2016-01_democrats.jsonl.xz, 0 
2016-01_politics.jsonl.xz, 8 
2016-02_Conservative.jsonl, 1 
2016-02_KotakuInAction.jsonl, 0 
2016-02_MensRights.jsonl, 0 
2016-02_SandersForPresident.jsonl, 113 
2016-02_The_Donald.jsonl, 27 
2016-02_conspiracy.jsonl, 0 
2016-02_democrats.jsonl, 0 
2016-02_politics.jsonl, 56 
2016-03_Conservative.jsonl, 0 
2016-03_KotakuInAction.jsonl, 0 
2016-03_MensRights.jsonl, 0 
2016-03_SandersForPresident.jsonl, 235 
2016-03_The_Donald.jsonl, 52 
2016-03_conspiracy.jsonl, 0 
2016-03_democrats.jsonl, 0 
2016-03_politics.jsonl, 44 
2016-04_Conservative.jsonl, 0 
2016-04_KotakuInAction.jsonl, 0 
2016-04_MensRights.jsonl, 2 
2016-04_SandersForPresident.jsonl, 182 
2016-04_The_Donald.jsonl, 17 
2016-04_conspiracy.jsonl, 0 
2016-04_democrats.jsonl, 0 
2016-04_politics.jsonl, 48 
2016-05_Conservative.jsonl.xz, 0 
2016-05_KotakuInAction.jsonl.xz, 0 
2016-05_MensRights.jsonl.xz, 0 
2016-05_SandersForPresident.jsonl.xz, 37 
2016-05_The_Donald.jsonl.xz, 11 
2016-05_conspiracy.jsonl.xz, 0 
2016-05_democrats.jsonl.xz, 0 
2016-05_politics.jsonl.xz, 45 
2016-06_Conservative.jsonl.xz, 0 
2016-06_KotakuInAction.jsonl.xz, 0 
2016-06_MensRights.jsonl.xz, 0 
2016-06_SandersForPresident.jsonl.xz, 37 
2016-06_The_Donald.jsonl.xz, 6 
2016-06_conspiracy.jsonl.xz, 1 
2016-06_democrats.jsonl.xz, 0 
2016-06_politics.jsonl.xz, 33 
2016-07_ChapoTrapHouse.jsonl.xz, 0 
2016-07_Conservative.jsonl.xz, 0 
2016-07_KotakuInAction.jsonl.xz, 0 
2016-07_MensRights.jsonl.xz, 3 
2016-07_SandersForPresident.jsonl.xz, 14 
2016-07_The_Donald.jsonl.xz, 3 
2016-07_conspiracy.jsonl.xz, 1 
2016-07_democrats.jsonl.xz, 0 
2016-07_politics.jsonl.xz, 39 
2016-08_ChapoTrapHouse.jsonl, 0 
2016-08_Conservative.jsonl, 0 
2016-08_KotakuInAction.jsonl, 0 
2016-08_MensRights.jsonl, 2 
2016-08_SandersForPresident.jsonl, 0 
2016-08_The_Donald.jsonl, 1 
2016-08_conspiracy.jsonl, 3 
2016-08_democrats.jsonl, 0 
2016-08_politics.jsonl, 64 
2016-09_ChapoTrapHouse.jsonl, 0 
2016-09_Conservative.jsonl, 0 
2016-09_KotakuInAction.jsonl, 0 
2016-09_MensRights.jsonl, 1 
2016-09_SandersForPresident.jsonl, 0 
2016-09_The_Donald.jsonl, 8 
2016-09_conspiracy.jsonl, 1 
2016-09_democrats.jsonl, 0 
2016-09_politics.jsonl, 76 
2016-10_ChapoTrapHouse.jsonl, 0 
2016-10_Conservative.jsonl, 0 
2016-10_KotakuInAction.jsonl, 0 
2016-10_MensRights.jsonl, 5 
2016-10_SandersForPresident.jsonl, 0 
2016-10_The_Donald.jsonl, 17 
2016-10_conspiracy.jsonl, 2 
2016-10_democrats.jsonl, 0 
2016-10_politics.jsonl, 177 
2016-11_ChapoTrapHouse.jsonl, 0 
2016-11_Conservative.jsonl, 0 
2016-11_KotakuInAction.jsonl, 0 
2016-11_MensRights.jsonl, 2 
2016-11_SandersForPresident.jsonl, 0 
2016-11_The_Donald.jsonl, 38 
2016-11_conspiracy.jsonl, 3 
2016-11_democrats.jsonl, 0 
2016-11_politics.jsonl, 59 
2016-12_ChapoTrapHouse.jsonl.xz, 0 
2016-12_Conservative.jsonl, 1 
2016-12_KotakuInAction.jsonl, 0 
2016-12_MensRights.jsonl, 3 
2016-12_SandersForPresident.jsonl.xz, 0 
2016-12_The_Donald.jsonl, 13 
2016-12_conspiracy.jsonl.xz, 0 
2016-12_democrats.jsonl, 0 
2016-12_politics.jsonl, 88 
2017-01_ChapoTrapHouse.jsonl.xz, 0 
2017-01_Conservative.jsonl.xz, 0 
2017-01_KotakuInAction.jsonl.xz, 0 
2017-01_MensRights.jsonl.xz, 0 
2017-01_SandersForPresident.jsonl.xz, 4 
2017-01_The_Donald.jsonl.xz, 16 
2017-01_conspiracy.jsonl.xz, 2 
2017-01_democrats.jsonl.xz, 0 
2017-01_politics.jsonl.xz, 213 
2017-02_ChapoTrapHouse.jsonl.xz, 0 
2017-02_Conservative.jsonl.xz, 0 
2017-02_KotakuInAction.jsonl.xz, 0 
2017-02_MensRights.jsonl.xz, 0 
2017-02_SandersForPresident.jsonl.xz, 1 
2017-02_The_Donald.jsonl.xz, 9 
2017-02_conspiracy.jsonl.xz, 1 
2017-02_democrats.jsonl.xz, 0 
2017-02_politics.jsonl.xz, 108 
2017-03_ChapoTrapHouse.jsonl.xz, 0 
2017-03_Conservative.jsonl.xz, 0 
2017-03_KotakuInAction.jsonl.xz, 0 
2017-03_MensRights.jsonl.xz, 0 
2017-03_SandersForPresident.jsonl.xz, 0 
2017-03_The_Donald.jsonl.xz, 7 
2017-03_conspiracy.jsonl.xz, 1 
2017-03_democrats.jsonl.xz, 1 
2017-03_politics.jsonl.xz, 209 
2017-04_ChapoTrapHouse.jsonl, 0 
2017-04_Conservative.jsonl, 0 
2017-04_KotakuInAction.jsonl, 0 
2017-04_MensRights.jsonl, 0 
2017-04_SandersForPresident.jsonl, 4 
2017-04_The_Donald.jsonl, 7 
2017-04_conspiracy.jsonl, 0 
2017-04_democrats.jsonl, 0 
2017-04_politics.jsonl, 165 
2017-05_ChapoTrapHouse.jsonl.xz, 0 
2017-05_Conservative.jsonl.xz, 1 
2017-05_KotakuInAction.jsonl.xz, 0 
2017-05_MensRights.jsonl.xz, 1 
2017-05_SandersForPresident.jsonl.xz, 3 
2017-05_The_Donald.jsonl.xz, 6 
2017-05_conspiracy.jsonl.xz, 1 
2017-05_democrats.jsonl.xz, 0 
2017-05_politics.jsonl.xz, 262 
2017-06_ChapoTrapHouse.jsonl.xz, 1 
2017-06_Conservative.jsonl.xz, 2 
2017-06_KotakuInAction.jsonl.xz, 0 
2017-06_MensRights.jsonl.xz, 3 
2017-06_SandersForPresident.jsonl.xz, 0 
2017-06_The_Donald.jsonl.xz, 9 
2017-06_conspiracy.jsonl.xz, 2 
2017-06_democrats.jsonl.xz, 0 
2017-06_politics.jsonl.xz, 284 
2017-07_ChapoTrapHouse.jsonl, 0 
2017-07_Conservative.jsonl, 2 
2017-07_KotakuInAction.jsonl, 1 
2017-07_MensRights.jsonl, 0 
2017-07_SandersForPresident.jsonl, 0 
2017-07_The_Donald.jsonl, 7 
2017-07_conspiracy.jsonl, 1 
2017-07_democrats.jsonl, 0 
2017-07_politics.jsonl, 173 
2017-08_ChapoTrapHouse.jsonl, 3 
2017-08_Conservative.jsonl, 1 
2017-08_KotakuInAction.jsonl, 0 
2017-08_MensRights.jsonl, 0 
2017-08_SandersForPresident.jsonl, 1 
2017-08_The_Donald.jsonl, 5 
2017-08_conspiracy.jsonl, 1 
2017-08_democrats.jsonl, 0 
2017-08_politics.jsonl, 280 
2017-09_ChapoTrapHouse.jsonl, 8 
2017-09_Conservative.jsonl, 1 
2017-09_KotakuInAction.jsonl, 0 
2017-09_MensRights.jsonl, 2 
2017-09_SandersForPresident.jsonl, 4 
2017-09_The_Donald.jsonl, 7 
2017-09_conspiracy.jsonl, 1 
2017-09_democrats.jsonl, 0 
2017-09_politics.jsonl, 122 
2017-10_ChapoTrapHouse.jsonl, 7 
2017-10_Conservative.jsonl, 1 
2017-10_KotakuInAction.jsonl, 0 
2017-10_MensRights.jsonl, 0 
2017-10_SandersForPresident.jsonl, 1 
2017-10_The_Donald.jsonl, 21 
2017-10_conspiracy.jsonl, 2 
2017-10_democrats.jsonl, 0 
2017-10_politics.jsonl, 206 
2017-11_ChapoTrapHouse.jsonl.xz, 7 
2017-11_Conservative.jsonl.xz, 3 
2017-11_KotakuInAction.jsonl.xz, 0 
2017-11_MensRights.jsonl.xz, 2 
2017-11_SandersForPresident.jsonl.xz, 5 
2017-11_The_Donald.jsonl.xz, 26 
2017-11_conspiracy.jsonl.xz, 13 
2017-11_democrats.jsonl.xz, 1 
2017-11_politics.jsonl.xz, 144 
2017-12_ChapoTrapHouse.jsonl.xz, 1 
2017-12_Conservative.jsonl.xz, 2 
2017-12_KotakuInAction.jsonl.xz, 0 
2017-12_MensRights.jsonl.xz, 0 
2017-12_SandersForPresident.jsonl.xz, 3 
2017-12_The_Donald.jsonl.xz, 31 
2017-12_conspiracy.jsonl.xz, 6 
2017-12_democrats.jsonl.xz, 1 
2017-12_politics.jsonl.xz, 298 
2018-01_ChapoTrapHouse.jsonl.xz, 7 
2018-01_Conservative.jsonl.xz, 2 
2018-01_KotakuInAction.jsonl.xz, 0 
2018-01_MensRights.jsonl.xz, 1 
2018-01_SandersForPresident.jsonl.xz, 1 
2018-01_The_Donald.jsonl.xz, 13 
2018-01_conspiracy.jsonl.xz, 7 
2018-01_democrats.jsonl.xz, 3 
2018-01_greatawakening.jsonl.xz, 0 
2018-01_politics.jsonl.xz, 340 
2018-02_ChapoTrapHouse.jsonl.xz, 4 
2018-02_Conservative.jsonl.xz, 1 
2018-02_KotakuInAction.jsonl.xz, 0 
2018-02_MensRights.jsonl.xz, 5 
2018-02_SandersForPresident.jsonl.xz, 0 
2018-02_The_Donald.jsonl.xz, 22 
2018-02_conspiracy.jsonl.xz, 5 
2018-02_democrats.jsonl.xz, 5 
2018-02_greatawakening.jsonl.xz, 0 
2018-02_politics.jsonl.xz, 251 
2018-03_ChapoTrapHouse.jsonl, 1 
2018-03_Conservative.jsonl, 5 
2018-03_KotakuInAction.jsonl, 0 
2018-03_MensRights.jsonl, 1 
2018-03_SandersForPresident.jsonl, 1 
2018-03_The_Donald.jsonl, 15 
2018-03_conspiracy.jsonl, 0 
2018-03_democrats.jsonl, 10 
2018-03_greatawakening.jsonl, 0 
2018-03_politics.jsonl, 422 
2018-04_ChapoTrapHouse.jsonl.xz, 11 
2018-04_Conservative.jsonl.xz, 4 
2018-04_KotakuInAction.jsonl.xz, 0 
2018-04_MensRights.jsonl.xz, 2 
2018-04_SandersForPresident.jsonl.xz, 0 
2018-04_The_Donald.jsonl.xz, 13 
2018-04_conspiracy.jsonl.xz, 2 
2018-04_democrats.jsonl.xz, 1 
2018-04_greatawakening.jsonl.xz, 0 
2018-04_politics.jsonl.xz, 338 
2018-05_ChapoTrapHouse.jsonl.xz, 10 
2018-05_Conservative.jsonl.xz, 2 
2018-05_KotakuInAction.jsonl.xz, 0 
2018-05_MensRights.jsonl.xz, 0 
2018-05_SandersForPresident.jsonl.xz, 0 
2018-05_The_Donald.jsonl.xz, 10 
2018-05_conspiracy.jsonl.xz, 6 
2018-05_democrats.jsonl.xz, 2 
2018-05_greatawakening.jsonl.xz, 0 
2018-05_politics.jsonl.xz, 315 
2018-06_ChapoTrapHouse.jsonl, 2 
2018-06_Conservative.jsonl, 2 
2018-06_KotakuInAction.jsonl, 0 
2018-06_MensRights.jsonl, 2 
2018-06_SandersForPresident.jsonl, 3 
2018-06_The_Donald.jsonl, 9 
2018-06_conspiracy.jsonl, 12 
2018-06_democrats.jsonl, 3 
2018-06_greatawakening.jsonl, 3 
2018-06_politics.jsonl, 399 
2018-07_ChapoTrapHouse.jsonl.xz, 6 
2018-07_Conservative.jsonl.xz, 3 
2018-07_KotakuInAction.jsonl.xz, 0 
2018-07_MensRights.jsonl.xz, 0 
2018-07_SandersForPresident.jsonl.xz, 5 
2018-07_The_Donald.jsonl.xz, 7 
2018-07_conspiracy.jsonl.xz, 4 
2018-07_democrats.jsonl.xz, 1 
2018-07_greatawakening.jsonl.xz, 8 
2018-07_politics.jsonl.xz, 466 
2018-08_ChapoTrapHouse.jsonl, 4 
2018-08_Conservative.jsonl, 3 
2018-08_KotakuInAction.jsonl, 1 
2018-08_MensRights.jsonl, 2 
2018-08_SandersForPresident.jsonl, 0 
2018-08_The_Donald.jsonl, 4 
2018-08_conspiracy.jsonl, 6 
2018-08_democrats.jsonl, 1 
2018-08_politics.jsonl, 443 
2018-09_ChapoTrapHouse.jsonl.xz, 4 
2018-09_Conservative.jsonl.xz, 5 
2018-09_KotakuInAction.jsonl.xz, 0 
2018-09_MensRights.jsonl.xz, 0 
2018-09_SandersForPresident.jsonl.xz, 0 
2018-09_The_Donald.jsonl.xz, 16 
2018-09_conspiracy.jsonl.xz, 6 
2018-09_democrats.jsonl.xz, 3 
2018-09_politics.jsonl.xz, 689 
2018-10_ChapoTrapHouse.jsonl, 7 
2018-10_Conservative.jsonl.xz, 0 
2018-10_KotakuInAction.jsonl.xz, 0 
2018-10_MensRights.jsonl.xz, 1 
2018-10_SandersForPresident.jsonl.xz, 2 
2018-10_The_Donald.jsonl.xz, 9 
2018-10_conspiracy.jsonl.xz, 1 
2018-10_democrats.jsonl.xz, 0 
2018-10_politics.jsonl.xz, 570 
2018-11_ChapoTrapHouse.jsonl.xz, 9 
2018-11_Conservative.jsonl.xz, 4 
2018-11_KotakuInAction.jsonl.xz, 0 
2018-11_MensRights.jsonl.xz, 5 
2018-11_SandersForPresident.jsonl.xz, 0 
2018-11_The_Donald.jsonl.xz, 44 
2018-11_conspiracy.jsonl.xz, 7 
2018-11_democrats.jsonl.xz, 1 
2018-11_politics.jsonl.xz, 683 
2018-12_ChapoTrapHouse.jsonl, 18 
2018-12_Conservative.jsonl, 40 
2018-12_KotakuInAction.jsonl, 0 
2018-12_MensRights.jsonl, 2 
2018-12_SandersForPresident.jsonl, 0 
2018-12_The_Donald.jsonl, 13 
2018-12_conspiracy.jsonl, 2 
2018-12_democrats.jsonl, 1 
2018-12_politics.jsonl, 364 
2019-01_ChapoTrapHouse.jsonl.xz, 18 
2019-01_Conservative.jsonl.xz, 10 
2019-01_KotakuInAction.jsonl.xz, 0 
2019-01_MensRights.jsonl.xz, 3 
2019-01_SandersForPresident.jsonl.xz, 3 
2019-01_The_Donald.jsonl.xz, 21 
2019-01_conspiracy.jsonl.xz, 6 
2019-01_democrats.jsonl.xz, 0 
2019-01_politics.jsonl.xz, 630 
2019-02_ChapoTrapHouse.jsonl, 26 
2019-02_Conservative.jsonl, 2 
2019-02_KotakuInAction.jsonl, 0 
2019-02_MensRights.jsonl, 1 
2019-02_SandersForPresident.jsonl, 1 
2019-02_The_Donald.jsonl, 8 
2019-02_conspiracy.jsonl, 7 
2019-02_democrats.jsonl, 1 
2019-02_politics.jsonl, 677 
